t,t_game_ms,lap,lapDist,invalid,speed,rpm,gear,throttle,brake
1766588651.412898,19869.0,29,829.061,1,94,6733,3,0.000,0.000
1766588651.446786,19902.0,29,829.920,1,94,6714,3,0.000,0.000
1766588651.465454,19919.0,29,830.342,1,94,6705,3,0.000,0.000
1766588651.480644,19936.0,29,830.771,1,94,6695,3,0.000,0.000
1766588651.497292,19952.0,29,831.193,1,93,6686,3,0.000,0.000
1766588651.514045,19969.0,29,831.623,1,93,6676,3,0.000,0.000
1766588651.529120,19986.0,29,832.045,1,93,6667,3,0.000,0.000
1766588651.549610,20002.0,29,832.467,1,93,6657,3,0.000,0.000
1766588651.552312,20019.0,29,832.896,1,93,6648,3,0.000,0.000
1766588651.587989,20036.0,29,833.318,1,93,6639,3,0.000,0.000
1766588651.649364,20053.0,29,833.740,1,93,6630,3,0.000,0.000
1766588651.649364,20069.0,29,834.162,1,93,6620,3,0.000,0.000
1766588651.649364,20086.0,29,834.584,1,92,6611,3,0.000,0.000
1766588651.649364,20103.0,29,834.998,1,92,6601,3,0.000,0.000
1766588651.649364,20119.0,29,835.420,1,92,6592,3,0.000,0.000
1766588651.677934,20136.0,29,835.842,1,92,6583,3,0.000,0.000
1766588651.693234,20153.0,29,836.264,1,92,6574,3,0.000,0.000
1766588651.708875,20169.0,29,836.678,1,92,6565,3,0.000,0.000
1766588651.724011,20186.0,29,837.092,1,92,6555,3,0.000,0.000
1766588651.754791,20203.0,29,837.514,1,92,6546,3,0.000,0.000
1766588651.770423,20219.0,29,837.928,1,91,6537,3,0.000,0.000
1766588651.798131,20236.0,29,838.342,1,91,6528,3,0.000,0.000
1766588651.798131,20253.0,29,838.756,1,91,6519,3,0.000,0.000
1766588651.813446,20269.0,29,839.170,1,91,6510,3,0.000,0.000
1766588651.847736,20286.0,29,839.584,1,91,6501,3,0.000,0.000
1766588651.850175,20303.0,29,839.998,1,91,6492,3,0.000,0.000
1766588651.863533,20319.0,29,840.412,1,91,6482,3,0.000,0.000
1766588651.876627,20336.0,29,840.826,1,91,6473,3,0.000,0.000
1766588651.896022,20353.0,29,841.240,1,90,6464,3,0.000,0.000
1766588651.911299,0.0,29,841.646,0,90,6453,3,0.000,0.000
1766588651.926579,0.0,29,3066.218,0,268,10555,7,0.000,0.000
1766588651.942001,0.0,29,3067.460,0,268,11073,7,1.000,0.000
1766588651.958029,0.0,29,3068.703,0,267,12130,6,1.000,0.000
1766588651.973644,0.0,29,3069.945,0,267,12310,6,1.000,0.000
1766588651.997931,0.0,29,3071.226,0,267,12321,7,1.000,0.000
1766588652.012795,0.0,29,3072.468,0,268,11959,7,1.000,0.000
1766588652.028786,0.0,29,3073.710,0,268,11632,7,1.000,0.000
1766588652.046511,0.0,29,3074.960,0,269,11337,7,1.000,0.000
1766588652.061655,0.0,29,3076.203,0,269,11067,7,1.000,0.000
